city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population
Bloomingdale,Bloomingdale,IL,Illinois,17043,DuPage,41.9497,-88.0895,21779
Shafter,Shafter,CA,California,6029,Kern,35.4794,-119.2013,21734
Eastmont,Eastmont,WA,Washington,53061,Snohomish,47.8968,-122.1817,21733
Katy,Katy,TX,Texas,48201,Harris,29.7904,-95.8353,21729
Brownwood,Brownwood,TX,Texas,48049,Brown,31.7127,-98.9767,21729
Del City,Del City,OK,Oklahoma,40109,Oklahoma,35.4483,-97.4408,21712
Jacksonville,Jacksonville,IL,Illinois,17137,Morgan,39.7292,-90.2318,21685
North Bay Shore,North Bay Shore,NY,New York,36103,Suffolk,40.7601,-73.2618,21679
Silverdale,Silverdale,WA,Washington,53035,Kitsap,47.6663,-122.6828,21677
Kapolei,Kapolei,HI,Hawaii,15003,Honolulu,21.3403,-158.0665,21674
Allendale,Allendale,MI,Michigan,26139,Ottawa,42.9851,-85.9509,21672
Darien,Darien,IL,Illinois,17043,DuPage,41.7447,-87.9823,21628
Perrysburg,Perrysburg,OH,Ohio,39173,Wood,41.5377,-83.6413,21626
Lewistown,Lewistown,PA,Pennsylvania,42087,Mifflin,40.5964,-77.573,21614
Hamtramck,Hamtramck,MI,Michigan,26163,Wayne,42.3954,-83.056,21599
La Porte,La Porte,IN,Indiana,18091,LaPorte,41.6077,-86.7136,21569
Clarksville,Clarksville,IN,Indiana,18019,Clark,38.3221,-85.7673,21558
New Castle,New Castle,IN,Indiana,18065,Henry,39.919,-85.3697,21555
Bellview,Bellview,FL,Florida,12033,Escambia,30.462,-87.312,21515
Biddeford,Biddeford,ME,Maine,23031,York,43.4674,-70.4512,21504
McNair,McNair,VA,Virginia,51059,Fairfax,38.9513,-77.4116,21485
Villa Park,Villa Park,IL,Illinois,17043,DuPage,41.8864,-87.9779,21483
Fernley,Fernley,NV,Nevada,32019,Lyon,39.5611,-119.1926,21476
Elkridge,Elkridge,MD,Maryland,24027,Howard,39.1941,-76.7427,21458
Mukilteo,Mukilteo,WA,Washington,53061,Snohomish,47.9096,-122.3035,21441
